stream_id,frame_id,detection_count,candidate_region_count,total_candidate_area,largest_candidate_area,coverage_percentage,unexplained_percentage,average_confidence,notes
2bYF53x7c2mOhjKvuwaM7vJHJaLxxR5V,60,0,0,0,0,0.0,100.0,0.0,Normal
2bYF53x7c2mOhjKvuwaM7vJHJaLxxR5V,80,1,0,0,0,8.028192023151066,91.97180797684894,0.3653744161128998,Normal
2dVxdA3XmypOsgSWv27dtf3GxjGUkB5A,0,6,1,18921,18921,41.85531362069905,58.14468637930095,0.7308486451705297,Large gap
2dVxdA3XmypOsgSWv27dtf3GxjGUkB5A,20,5,1,863,863,34.59969894279914,65.40030105720086,0.6038433253765106,Normal
2dVxdA3XmypOsgSWv27dtf3GxjGUkB5A,40,4,1,1137,1137,18.42206790123457,81.57793209876543,0.7019494101405144,Normal
2dVxdA3XmypOsgSWv27dtf3GxjGUkB5A,60,7,2,7116,4509,17.610594276801482,82.38940572319852,0.5709207696574075,Large gap
2dVxdA3XmypOsgSWv27dtf3GxjGUkB5A,80,7,0,0,0,15.68127805394136,84.31872194605864,0.6087209454604557,Normal
2iQ4jyIxwXUInJKDYmBuoDltgad_GKC5,0,3,0,0,0,1.1811098275338983,98.8188901724661,0.49400169650713605,Normal
2iQ4jyIxwXUInJKDYmBuoDltgad_GKC5,20,4,0,0,0,3.5184115537507687,96.48158844624923,0.5338712856173515,Normal
2iQ4jyIxwXUInJKDYmBuoDltgad_GKC5,40,4,0,0,0,4.654304456735669,95.34569554326433,0.5666155740618706,Normal
2iQ4jyIxwXUInJKDYmBuoDltgad_GKC5,60,4,1,76228,76228,4.166946233673287,95.83305376632671,0.6824483424425125,Large gap
2iQ4jyIxwXUInJKDYmBuoDltgad_GKC5,80,1,0,0,0,2.3799660824445534,97.62003391755545,0.5134450197219849,Normal
